Index,Index,autores,data_apresentacao,ementa,proposicao,situacoes,urls
20,20, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-29/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078249
21,21, Jair Bolsonaro - PSC/RJ.,2016-05-05,Dá nova redação à MPV 723/2016,EMC-3/2016 MPV72316 => MPV-723/2016,,Prop_Detalhe.asp?id=2091072
22,22, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-30/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078250
23,23, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-31/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078251
24,24, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-32/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078252
25,25, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-33/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078253
26,26, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-34/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078254
27,27, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-35/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078255
28,28, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-36/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078256
29,29, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-37/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078257
30,30, Jair Bolsonaro - PP/RJ.,2015-10-06,Dá nova redação à MPV 693/2015,EMC-38/2016 MPV69315 => MPV-693/2015,,Prop_Detalhe.asp?id=2078258
