Index,Index,autores,data_apresentacao,ementa,proposicao,situacoes,urls
134,134, Jair Bolsonaro - PP/RJ.,2013-09-05,"Altera a redação do parágrafo único do art. 163, do Decreto-Lei nº 2.848, de 7 de dezembro de 1940, que institui o Código Penal  Brasileiro.",PL-6277/2013,Tramitando em Conjunto,Prop_Detalhe.asp?id=590851
135,135, Jair Bolsonaro - PP/RJ.,2013-12-18,"Altera a redação do inciso II, do art. 4º, da Lei nº 10.406, de 10 de janeiro de 2002, que institui o Código Civil. Explicação: Altera a redação do Código Civil no que se refere à Incapacidade relativa daqueles que por enfermidade tenham o discernimento reduzido, incapazes portanto, da prática de alguns atos da vida civil.",PL-6996/2013,Aguardando Designação de Relator,Prop_Detalhe.asp?id=604828
136,136, Jair Bolsonaro - PP/RJ.,2013-12-18,"Altera a redação da art. 113 da Lei nº 6.880, de 9 de dezembro de 1980, que dispõe sobre o Estatuto dos Militares.",PL-6997/2013,Arquivada,Prop_Detalhe.asp?id=604829
137,137," Jair Bolsonaro - PP/RJ,Dr. Ubiali - PSB/SP.",2013-04-11,"Contra a apreciação conclusiva da Comissão Especial da Câmara dos Deputados sobre o Projeto de Lei nº 2.245, de 2007.

",REC-193/2013 => PL-2245/2007,Pronta para Pauta,Prop_Detalhe.asp?id=571632
138,138, Jair Bolsonaro - PP/RJ.,2013-11-19,"Requer a realização de audiência pública da Subcomissão em Defesa da História das Forças Armadas na Formação do Estado Brasileiro, para debater os fatos relacionados à Guerrilha do Araguaia.",REQ-105/2013 CDHM,Arquivada,Prop_Detalhe.asp?id=601353
139,139," João Campos - PSDB/GO,Jair Bolsonaro - PP/RJ.",2013-08-08,Requer a inclusão do convidado com base no Requerimento n.º 243/2013 de autoria do deputado Otavio Leite.,REQ-247/2013 CSPCCO => PL-5776/2013,Aguardando Providências Internas,Prop_Detalhe.asp?id=586471
140,140, Jair Bolsonaro - PP/RJ.,2013-08-22,"Requer a realização de pesquisa de opinião sobre a redução da idade penal, para subsidiar os trabalhos da Comissão Especial destinada a proferir Parecer ao Projeto de Lei nº 7.197, de 2002, do Senado Federal.",REQ-28/2013 PL719702 => PL-7197/2002,Arquivada,Prop_Detalhe.asp?id=588892
141,141, Jair Bolsonaro - PP/RJ.,2013-04-11,"Requer a convocação da Sra. MARIA DO ROSÁRIO, DD. Ministra de Estado da Secretaria de Direitos Humanos da Presidência da República para prestar esclarecimentos sobre o Plano Nacional de Promoção da Cidadania e Direitos Humanos de LGBT.",REQ-29/2013 CDHM,Arquivada,Prop_Detalhe.asp?id=571624
142,142, Jair Bolsonaro - PP/RJ.,2013-09-26,Requer a instalação de Subcomissão Especial para defesa da história das Forças Armadas na formação do Estado brasileiro.,REQ-78/2013 CDHM,Arquivada,Prop_Detalhe.asp?id=593734
143,143, Jair Bolsonaro - PP/RJ.,2013-07-17,"Repudia, veemente, ação do governo boliviano em relação à aeronave militar da Força Aérea Brasileira",REQ-8264/2013,Arquivada,Prop_Detalhe.asp?id=585530
144,144, Jair Bolsonaro - PP/RJ.,2013-08-20,Requer tramitação conjunta das matérias que especifica.,REQ-8385/2013 => PEC-215/2003,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=588022
145,145, Jair Bolsonaro - PP/RJ.,2013-09-10,Requer novo despacho para apreciação do PL 6.240 de 2013 pela Comissão de Relações Exteriores e de Defesa Nacional.,REQ-8557/2013 => PL-6240/2013,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=591182
146,146, Jair Bolsonaro - PP/RJ.,2013-09-10,Requer novo despacho para apreciação do PL 6.240 de 2013 pela Comissão de Direitos Humanos e Minorias.,REQ-8558/2013 => PL-6240/2013,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=591183
147,147, Jair Bolsonaro - PP/RJ.,2013-10-09,Requer instalação de Comissão Especial para análise e emissão de Parecer da Proposta de Emenda à Constituição nº 293 de 2013.,REQ-8797/2013 => PEC-293/2013,Arquivada,Prop_Detalhe.asp?id=595982
148,148, Jair Bolsonaro - PP/RJ.,2013-05-29,Solicita informações ao Senhor Ministro de Estado da Fazenda sobre a situação dos policiais e bombeiros militares do antigo Distrito Federal e de seus pensionistas.,RIC-3182/2013,Arquivada,Prop_Detalhe.asp?id=578902
149,149, Jair Bolsonaro - PP/RJ.,2013-05-29,Solicita informações ao Senhor Ministro do Trabalho e Emprego sobre pagamentos de auxílio-defeso a pescadores da região de Paraty-RJ.,RIC-3183/2013,Arquivada,Prop_Detalhe.asp?id=578905
150,150, Jair Bolsonaro - PP/RJ.,2013-10-16,"Solicita informações ao Senhor Ministro de Estado das Relações Exteriores a respeito da veracidade de notícia divulgada por mídia sobre abandono de tradutora brasileira, integrante de comitiva oficial de viagem presidencial, na cidade do Panamá.",RIC-3777/2013,,Prop_Detalhe.asp?id=596831
151,151, Jair Bolsonaro - PP/RJ.,2013-10-24,"Solicita informações ao Senhor Ministro de Estado do Meio Ambiente sobre autuações aplicadas em decorrência de danos causados ao meio ambiente na Estação Ecológica de Tamoios – ESEC TAMOIOS, desde sua criação.",RIC-3807/2013,Aguardando Análise de Parecer,Prop_Detalhe.asp?id=598103
152,152, Jair Bolsonaro - PP/RJ.,2012-10-17,"Dispõe sobre a remuneração dos cargos das Carreiras de Oficial de Chancelaria e Assistente de Chancelaria, de que trata a Lei nº 11.440, de 29 de dezembro de 2006, da Carreira de Fiscal Federal Agropecuário, de que trata a Lei nº 10.883, de 16 de junho de 2004, das Carreiras de Procurador da Fazenda Nacional, Advogado da União, Procurador Federal, Defensor Público da União e da Carreira de Procurador do Banco Central do Brasil, de que trata a Lei nº 11.358, de 19 de outubro de 2006, das Carreiras de Gestão Governamental, Diplomata, Técnico de Planejamento e Pesquisa do IPEA, de que trata a Lei nº 11.890, de 24 de dezembro de 2008, das Carreiras de Oficial de Inteligência, Oficial Técnico de Inteligência, Agente de Inteligência e Agente Técnico de Inteligência, de que trata a Lei nº 11.776, de 17 de setembro de 2008, dos cargos de Delegado de Polícia Federal e de Perito Criminal Federal da Carreira Policial Federal, da Carreira de Policial Rodoviário Federal e dos cargos de Delegado de Polícia Civil, Perito Criminal Civil, Médico-Legista Civil, Técnico em Medicina Legal Civil e Técnico em Polícia Criminal Civil da Carreira Policial Civil dos Extintos Territórios Federais do Acre, Am",EMC-8/2012 CTASP => PL-4371/2012,,Prop_Detalhe.asp?id=557192
153,153, Jair Bolsonaro - PP/RJ.,2012-09-19,"Acrescenta parágrafo ao art. 72, da Lei nº 11.343, de 26 de agosto de 2006, para viabilizar o uso de drogas apreendidas para fins específicos de adestramento de cães, na forma que menciona.",PL-4450/2012,Aguardando Designação de Relator,Prop_Detalhe.asp?id=556060
154,154, Jair Bolsonaro - PP/RJ.,2012-02-06,"Contra a apreciação conclusiva da Comissão Especial da Câmara dos Deputados sobre o Projeto de  Lei nº 7.672 de 2010.

",REC-111/2012 => PL-7672/2010,Retirado pelo Autor,Prop_Detalhe.asp?id=533891
155,155, Jair Bolsonaro - PP/RJ.,2012-05-10,"Contra o deferimento ao pleito do Requerimento nº 5.058, de 2012, retirando o Recurso nº 111, de 2012, contra a apreciação conclusiva da Comissão Especial da Câmara dos Deputados sobre o Projeto de  Lei nº 7.672 de 2010.",REC-141/2012 => REQ-5058/2012,Arquivada,Prop_Detalhe.asp?id=544241
156,156, Jair Bolsonaro - PP/RJ.,2012-03-14,"seja convocado o  Excelentíssimo Senhor CELSO AMORIM, Ministro de Estado da Defesa, para, em audiência pública, prestar esclarecimentos a respeito de suas reiteradas manifestações, em diversos órgãos de mídia, sobre aplicação de punições a militares inativos por externarem pensamento e conceito ideológico.",REQ-108/2012 CREDN,Arquivada,Prop_Detalhe.asp?id=537089
157,157," Perpétua Almeida - PCdoB/AC,Emanuel Fernandes - PSDB/SP,Geraldo Thadeu - PSD/MG,Jair Bolsonaro - PP/RJ,Vitor Paulo - PRB/RJ,Leonardo Gadelha - PSC/PB,George Hilton - PRB/MG,Raul Henry - PMDB/PE,Alfredo Sirkis - PV/RJ,Vieira da Cunha - PDT/RS,Luiz Sérgio - PT/RJ,Damião Feliciano - PDT/PB,Hugo Napoleão - PSD/PI,Henrique Fontana - PT/RS,Claudio Cajado - DEM/BA.",2012-05-28,"Requer seja autorizada a liberação de passagens aéreas e de diárias, a serem deduzidas  da cota da Comissão, para que esta Presidenta possa representar este Colegiado no âmbito da Conferência Rio+20. Requer, igualmente, que seja autorizada a liberação de passagens aéreas e de diárias para que os servidores Ana Cristina S. Oliveira, Roberto C. Duarte, Antonio A. F. Júnior, Paulo de Tarso e Vanessa Marquez possam acompanhar e assessorar os trabalhos da CREDN no mesmo evento, que ocorrerá no Rio de Janeiro, no período de 13 a 22 de junho.",REQ-154/2012 CREDN,Arquivada,Prop_Detalhe.asp?id=546055
158,158," Edio Lopes - PMDB/RR,Lincoln Portela - PR/MG,Lourival Mendes - PTdoB/MA,Dalva Figueiredo - PT/AP,Enio Bacci - PDT/RS,Keiko Ota - PSB/SP,Jair Bolsonaro - PP/RJ.",2012-06-13,Requer a inclusão de convidado para Audiência Pública a realizar-se em 19 de junho do corrente ano.,REQ-158/2012 CSPCCO,Arquivada,Prop_Detalhe.asp?id=547931
159,159, Jair Bolsonaro - PP/RJ.,2012-02-10,"Requer sejam anexadas ao RECURSO Nº 111/2012, apresentado em 6 de fevereiro de 2012, mais 02 (duas) folhas de assinaturas.

",REQ-4291/2012 => REC-111/2012,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=534488
160,160, Jair Bolsonaro - PP/RJ.,2012-08-10,"Requer adoção de medidas para atendimento, pela Ministra do Meio Ambiente, de Requerimento de Informações.",REQ-5917/2012 => RIC-2001/2012,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=553102
161,161, Jair Bolsonaro - PP/RJ.,2012-12-05,"Requer inclusão na Ordem do Dia da PEC nº 555, de 2006, que ""revoga o art. 4º da EC nº 41, de 2003"".",REQ-6500/2012 => PEC-555/2006,Arquivada,Prop_Detalhe.asp?id=562242
162,162, Jair Bolsonaro - PP/RJ.,2012-04-11,"Solicita informações ao Senhor Ministro de Estado do Meio Ambiente sobre multas aplicadas, detalhamentos de danos causados ao meio ambiente e condições de trafegabilidade nas baías de Angra dos Reis, da Ilha Grande e de Paraty, bem como solicita cópia dos estudos efetuados que precederam a criação da Estação Ecológica de Tamoios.",RIC-2001/2012,Arquivada,Prop_Detalhe.asp?id=541009
163,163, Jair Bolsonaro - PP/RJ.,2011-09-28,Dispõe sobre a investigação criminal conduzida pela autoridade policial.,EMC-1/2011 CCJC => PL-7193/2010,,Prop_Detalhe.asp?id=521917
164,164, Jair Bolsonaro - PP/RJ.,2011-03-24,"Inclui um Capítulo V-A, no Decreto-lei nº 667, de 2 de julho de 1969, versando sobre garantias dos integrantes da polícia militar e dos corpos de bombeiros militar.",EMC-2/2011 CSPCCO => PL-5017/2005,,Prop_Detalhe.asp?id=496123
165,165, Jair Bolsonaro - PP/RJ.,2011-03-24,Dispõe sobre a profissão de Brigadista Particular e dá outras providências.,EMC-3/2011 CSPCCO => PL-7085/2010,,Prop_Detalhe.asp?id=496122
166,166, Jair Bolsonaro - PP/RJ.,2011-09-27,"Dispõe sobre as carreiras do Ministério Público da União, fixa os valores da sua remuneração, revoga a Lei nº 11.415 de 15 de Dezembro de 2006 e dá outras providências.",EMC-7/2011 CTASP => PL-2199/2011,,Prop_Detalhe.asp?id=521502
167,167, Jair Bolsonaro - PP/RJ.,2011-09-27,"Dispõe sobre as carreiras do Ministério Público da União, fixa os valores da sua remuneração, revoga a Lei nº 11.415 de 15 de Dezembro de 2006 e dá outras providências.",EMC-8/2011 CTASP => PL-2199/2011,,Prop_Detalhe.asp?id=521503
168,168," Jair Bolsonaro - PP/RJ,Antonio Imbassahy - PSDB/BA,Beto Mansur - PP/SP,Carlos Sampaio - PSDB/SP,Onyx Lorenzoni - DEM/RS.",2011-09-21,Dá nova redação ao § 3º do artigo 4º do projeto.,EMP-7/2011 => PL-7376/2010,,Prop_Detalhe.asp?id=520970
169,169," Hugo Leal - PSC/RJ,Adrian - PMDB/RJ,Alessandro Molon - PT/RJ,Alexandre Santos - PMDB/RJ,Alfredo Sirkis - PV/RJ,Andreia Zito - PSDB/RJ,Anthony Garotinho - PR/RJ,Arolde de Oliveira - DEM/RJ,Aureo - PRTB/RJ,Benedita da Silva - PT/RJ,Brizola Neto - PDT/RJ,Chico Alencar - PSOL/RJ,Chico D'Angelo - PT/RJ,Deley - PSC/RJ,Dr. Adilson Soares - PR/RJ,Dr. Aluizio - PV/RJ,Dr. Carlos Alberto - PMN/RJ,Dr. Paulo César - PR/RJ,Edson Ezequiel - PMDB/RJ,Edson Santos - PT/RJ,Eduardo Cunha - PMDB/RJ,Eliane Rolim - PT/RJ,Felipe Bornier - PHS/RJ,Fernando Jordão - PMDB/RJ,Filipe Pereira - PSC/RJ,Francisco Floriano - PR/RJ,Glauber Braga - PSB/RJ,Jair Bolsonaro - PP/RJ,Jandira Feghali - PCdoB/RJ,Jean Wyllys - PSOL/RJ,Liliam Sá - PR/RJ,Marcelo Matos - PDT/RJ,Miro Teixeira - PDT/RJ,Neilton Mulim - PR/RJ,Otavio Leite - PSDB/RJ,Rodrigo Maia - DEM/RJ,Romário - PSB/RJ,Simão Sessim - PP/RJ,Solange Almeida - PMDB/RJ,Stepan Nercessian - PPS/RJ,Vitor Paulo - PRB/RJ,Walney Rocha - PTB/RJ,Washington Reis - PMDB/RJ,Zoinho - PR/RJ.",2011-08-24,"Sugere ao Exmo. Senhor Ministro da Secretaria de Assuntos Estratégicos da Presidência da República que nos trabalhos em curso, na citada Secretaria ou no âmbito do Instituto de Pesquisa Econômica Aplicada - IPEA, objetivando a definição do papel e criação de escritórios regionais do Instituto, seja formulada proposta de reestruturação e fortalecimento institucional da Unidade Rio do IPEA.

",INC-1349/2011,Arquivada,Prop_Detalhe.asp?id=517282
170,170, Jair Bolsonaro - PP/RJ.,2011-02-10,"Dá nova redação ao § 1º do art. 261 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro. Explicação: Suspende o direito de dirigir do infrator que atingir quarenta pontos na Carteira Nacional de Habilitação, durante o período de doze meses.",PL-367/2011,Tramitando em Conjunto,Prop_Detalhe.asp?id=491791
171,171, Jair Bolsonaro - PP/RJ.,2011-05-04,"Nos termos regimentais, REQUEIRO a V.Exa. a retirada de minha assinatura do Requerimento de criação da Comissão Parlamentar de Inquérito destinada a investigar as constantes panes no sistema das operadoras de telefonia móvel, fixa e de banda larga de Internet no Brasil.",REQ-1620/2011 => RCP-14/2012,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=500869
172,172, Jair Bolsonaro - PP/RJ.,2011-03-03,"Solicita a convocação do Excelentíssimo Senhor FERNANDO HADDAD, Ministro de Estado da Educação, para prestar esclarecimentos a esta Comissão sobre a elaboração de material de combate à homofobia a ser distribuído nas escolas de ensino fundamental.",REQ-2/2011 CREDN,Arquivada,Prop_Detalhe.asp?id=494203
173,173, Jair Bolsonaro - PP/RJ.,2011-05-03,Requer aprovação de Voto de Louvor ao Presidente dos Estados Unidos da América - BARACK OBAMA pela ação que culminou com a morte do terrorista OSAMA BIN LADEN.,REQ-32/2011 CREDN,Arquivada,Prop_Detalhe.asp?id=500220
174,174, Jair Bolsonaro - PP/RJ.,2011-09-15,"Requer instalação de Comissão Especial com a finalidade de dar parecer sobre a Proposta de Emenda à Constituição nº 53, de 2007.",REQ-3223/2011 => PEC-53/2007,Arquivada,Prop_Detalhe.asp?id=520090
175,175, Jair Bolsonaro - PP/RJ.,2011-07-06,"requer realização, pelo Tribunal de Contas da União, de auditoria operacional, financeira e contábil no Ministério da Educação e Cultura.",REQ-58/2011 CREDN,Arquivada,Prop_Detalhe.asp?id=511603
176,176, Jair Bolsonaro - PP/RJ.,2011-03-03,Requer a convocação do Sr. Ministro de Estado da Educação para prestar esclarecimentos à Comissão de Direitos Humanos e Minorias sobre a elaboração de material de combate à homofobia a ser distribuído nas escolas de ensino fundamental.,REQ-6/2011 CDHM,Arquivada,Prop_Detalhe.asp?id=494434
177,177, Jair Bolsonaro - PP/RJ.,2011-03-01,Requer desarquivamento de proposições.,REQ-606/2011 => PEC-301/1996,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=493703
178,178, Jair Bolsonaro - PP/RJ.,2011-06-28,Requer a inclusão de autoridade a ser ouvida em audiência pública para debater a crise do Corpo de Bombeiros Militar do Estado do Rio de Janeiro.,REQ-70/2011 CSPCCO => REQ-52/2011 CSPCCO,Aguardando Providências Internas,Prop_Detalhe.asp?id=510307
179,179, Jair Bolsonaro - PP/RJ.,2011-08-30,Requer que a Comissão de Segurança Pública e Combate ao Crime Organizado encaminhe Requerimento de Informação ao Ministro da Justiça.,REQ-85/2011 CSPCCO,Arquivada,Prop_Detalhe.asp?id=517869
180,180, Jair Bolsonaro - PP/RJ.,2011-03-17,"Requer que o Tribunal de Contas da União se manifeste sobre a aplicabilidade aos beneficiários dos policiais e bombeiros militares do Distrito Federal, dos ex-Territórios Federais do Amapá, Rondônia e de Roraima e os remanescentes do antigo Distrito Federal, regidos pela Lei nº 10.486, de 4 de julho de 2002, e falecidos em data anterior a edição da citada lei, do disposto no § 3º do art. 36 da mencionada lei.",REQ-9/2011 CREDN,Arquivada,Prop_Detalhe.asp?id=495149
181,181, Jair Bolsonaro - PP/RJ.,2011-11-08,"Requer convocação do Sr. Ministro de Estado da Defesa para prestar esclarecimentos a esta Comissão a respeito da elevada evasão de oficiais e sargentos das Forças Armadas, da atual situação remuneratória de seus integrantes e sobre a falta de votação da MP nº 2.215-10, de 2001, considerando já decorrido mais de 10 anos de sua edição.",REQ-98/2011 CREDN,Arquivada,Prop_Detalhe.asp?id=526370
182,182, Jair Bolsonaro - PP/RJ.,2011-03-02,"Solicita informações ao Senhor Ministro de Estado da Fazenda sobre atendimentos médico, odontológico e hospitalar devidos aos militares e pensionistas da Polícia Militar e do Corpo de Bombeiros Militar do antigo Distrito Federal.",RIC-282/2011,Arquivada,Prop_Detalhe.asp?id=494146
183,183, Jair Bolsonaro - PP/RJ.,2010-03-25,"Sugere ao Ministro de Estado da Defesa que altere o texto do inciso II, do art. 116, da Lei nº 6.880, de 9 de dezembro de 1980 (Estatuto dos Militares).",INC-6268/2010,Arquivada,Prop_Detalhe.asp?id=471247
184,184, Jair Bolsonaro - PP/RJ.,2010-06-09,"Revoga a Resolução nº 277, de 28 de maio de 2008, do Conselho Nacional de Trânsito - CONTRAN, que dispõe sobre o transporte de menores de 10 anos e a utilização do dispositivo de retenção para o transporte de crianças em veículos. Explicação: Revoga a dispensa de utilização do dispositivo de retenção para o transporte de crianças nos veículos de transporte coletivo, de aluguel, táxis, escolares.",PDC-2767/2010,Pronta para Pauta,Prop_Detalhe.asp?id=480427
185,185, Jair Bolsonaro - PP/RJ.,2010-06-09,"Inclui parágrafo único no art. 65 da Lei nº 9.503, de 23 de setembro de 1997, que instituiu o Código de Trânsito Brasileiro - CTB. Explicação: Não se aplicam as exceções sobre utilização do cinto de segurança e transporte de crianças no banco traseiro aos veículos que transitam em vias cuja velocidade máxima seja igual ou superior a oitenta (80) Km.",PL-7464/2010,Arquivada,Prop_Detalhe.asp?id=480430
186,186, Jair Bolsonaro - PP/RJ.,2010-12-14,"Altera dispositivos do Decreto-lei nº 2.848, de 07 de dezembro de 1940 (Código Penal), da Lei nº 7.210, de 11 de julho de 1884 (Lei de Execuções Penais) e da Lei nº 8.072, de 25 de julho de 1990, relativamente aos crimes de quadrilha, associação para o tráfico ilícito de entorpecentes e drogas afins e contra o patrimônio praticados com grave ameaça ou violência à pessoa.",PL-8006/2010,Aguardando Designação de Relator,Prop_Detalhe.asp?id=489627
187,187, Jair Bolsonaro - PP/RJ.,2010-12-15,"Altera dispositivos da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - SINARM.",PL-8018/2010,Aguardando Designação de Relator,Prop_Detalhe.asp?id=489887
188,188, Jair Bolsonaro - PP/RJ.,2010-03-10,"que requer manifestação do Tribunal de Contas da União (TCU) sobre interpretação de direito previsto no Decreto-lei nº 8.795, de 23 de janeiro de 1946, se os beneficiários da pensão deixada pelos instituidores das vantagens estabelecidas fazem jus à percepção do adicional de 25% (vinte e cinco por cento) previsto no parágrafo único do art. 3º, do mencionado diploma legal.",REQ-358/2010 CREDN,Arquivada,Prop_Detalhe.asp?id=468819
189,189, Jair Bolsonaro - PP/RJ.,2010-03-10,"Requer manifestação do Tribunal de Contas da União sobre interpretação a respeito de reversão de cotas-partes da pensão instituída pelo art. 30, da Lei nº 4.242, de 17 de julho de 1963.",REQ-359/2010 CREDN,Arquivada,Prop_Detalhe.asp?id=468821
190,190, Jair Bolsonaro - PP/RJ.,2010-03-16,"para que a Comissão manifeste Voto de Louvor da Câmara dos Deputados ao Parlamento Europeu em virtude da Declaração de repúdio à morte previsível, cruel e evitável do prisioneiro cubano Orlando Zapata Tamayo e as manifestações daquela Casa sobre a necessidade de libertação, imediata e incondicional, de todos os prisioneiros políticos mantidos pela República de Cuba.",REQ-367/2010 CREDN,Arquivada,Prop_Detalhe.asp?id=469498
191,191, Jair Bolsonaro - PP/RJ.,2010-04-08,"seja solicitada manifestação do Tribunal de Contas da União sobre interpretação a respeito de suspensão de pagamento da parcela remuneratória denominada ""auxílio-invalidez"", devida aos militares.",REQ-377/2010 CREDN,Arquivada,Prop_Detalhe.asp?id=472655
192,192, Jair Bolsonaro - PP/RJ.,2010-03-16,"Repudia, veemente, a morte previsível, cruel e evitável do prisioneiro cubano Orlando Zapata Tamayo e manifesta entendimento pela necessidade de libertação, imediata e incondicional, de todos os prisioneiros políticos mantidos pela República de Cuba.",REQ-6456/2010,Arquivada,Prop_Detalhe.asp?id=469601
193,193, Jair Bolsonaro - PP/RJ.,2010-03-17,Manifesta irrestrito apoio ao direito universal de livre manifestação do pensamento do povo cubano.,REQ-6488/2010,Tramitação do Requerimento Finalizada,Prop_Detalhe.asp?id=470022
194,194, Jair Bolsonaro - PP/RJ.,2010-11-23,"Solicita informações ao Senhor Ministro de Estado do Meio Ambiente sobre legislação e normas que regulem a pesca nas baías de Angra dos Reis, da Ilha Grande e de Paraty e sobre competência para fiscalização de tais atividades.",RIC-5373/2010,Arquivada,Prop_Detalhe.asp?id=487411
195,195, Jair Bolsonaro - PP/RJ.,2010-11-23,"Solicita informações ao Senhor Ministro de Estado da Pesca e Aquicultura sobre legislação e normas que regulem a pesca nas baías de Angra dos Reis, da Ilha Grande e de Paraty e sobre competência para fiscalização de tais atividades.",RIC-5374/2010,Arquivada,Prop_Detalhe.asp?id=487412
196,196, Jair Bolsonaro - PP/RJ.,2009-03-10,"Sugere ao Senhor Ministro de Estado da Defesa a adoção de instrumentos que viabilizem a instituição do programa que garante a prorrogação da licença-maternidade para as militares e servidoras civis, nos termos previstos nos arts. 1º e 2º da Lei nº 11.770/08, no âmbito do Ministério da Defesa.",INC-3700/2009,Arquivada,Prop_Detalhe.asp?id=426056
197,197, Jair Bolsonaro - PP/RJ.,2009-02-03,"Acrescenta parágrafo ao art. 166 da Constituição Federal. Explicação: Determina o caráter obrigatório das emendas parlamentares de iniciativa individual. 
Altera a Constituição Federal de 1988.",PEC-321/2009,Arquivada,Prop_Detalhe.asp?id=422797
198,198, Jair Bolsonaro - PP/RJ.,2009-04-15,Dá nova redação ao inciso IX do art. 142 da Constituição Federal. Explicação: Estabelece que a remuneração dos militares das Forças Armadas não terá valores inferiores aos postos e graduações correspondentes das Forças Auxiliares.,PEC-352/2009,Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro,Prop_Detalhe.asp?id=430515
199,199, Jair Bolsonaro - PP/RJ.,2009-09-24,"Acrescenta o § 3º ao art. 42 da Constituição Federal. Explicação: Garante aos membros remanescentes da Polícia Militar e do Corpo de Bombeiros Militar do antigo Distrito Federal, que integravam as corporações em 21 de abril de 1960, os mesmos direitos e vantagens dos atuais Policiais e Bombeiros Militares do atual Distrito Federal, bem como aos seus pensionistas, sendo vedada a retroatividade da remuneração.",PEC-410/2009,Pronta para Pauta,Prop_Detalhe.asp?id=452533
200,200, Jair Bolsonaro - PP/RJ.,2009-03-25,"Dá novas redações às alíneas ""a"" e ""b"", do inciso I, do art. 89, do Decreto-Lei nº 1.001, de 21 de outubro de 1969 (Código Penal Militar), que estabelecem condições para concessão de livramento condicional.",PL-4927/2009,Tramitando em Conjunto,Prop_Detalhe.asp?id=427874
201,201, Jair Bolsonaro - PP/RJ.,2009-04-15,"Acrescenta parágrafo único ao art. 218 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro. Explicação: Exclui das penalidades por excesso de velocidade os condutores de veículos precedidos por batedores, de socorro de incêndio e salvamento, de polícia, fiscalização de trânsito e ambulâncias.",PL-5065/2009,Pronta para Pauta,Prop_Detalhe.asp?id=430838
202,202, Jair Bolsonaro - PP/RJ.,2009-06-24,"Altera o inciso XIV da Lei nº 7.713, de 22 de dezembro de 1988, com a redação dada pela Lei nº 11.052, de 29 de dezembro de 2004, para incluir entre os rendimentos isentos do imposto de renda os proventos percebidos pelos portadores de Lúpus Eritematoso Sistêmico.",PL-5481/2009,Tramitando em Conjunto,Prop_Detalhe.asp?id=439883
203,203, Jair Bolsonaro - PP/RJ.,2009-09-03,"Altera a redação do § 1º do art. 6º da Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Autoriza o porte de arma para os agentes e guardas prisionais integrantes de escoltas de presos e as guardas portuárias.",PL-5982/2009,Aguardando Apreciação do Veto,Prop_Detalhe.asp?id=448426
204,204, Jair Bolsonaro - PP/RJ.,2009-02-18,"Altera o § 1º do art. 79 do Regimento Interno da Câmara dos Deputados para assegurar a fixação do crucifixo na parede do plenário, atrás da mesa.",PRC-156/2009,Tramitando em Conjunto,Prop_Detalhe.asp?id=423950
205,205, Jair Bolsonaro - PP/RJ.,2009-04-22,"Recurso ao Presidente da Câmara dos dos Deputados contra apreciação conclusiva pela Comissão de Constituição e Justiça e de Cidadania ao PL. n.º 2650/2003"".

",REC-254/2009 => PL-2650/2003,Arquivada,Prop_Detalhe.asp?id=431285
206,206, Jair Bolsonaro - PP/RJ.,2009-06-24,"Recurso, ao Presidente da Câmara dos Deputados, contra apreciação conclusiva, pela Comissão de Constituição e Justiça e de Cidadania, do PL. n.º 95/2003.",REC-286/2009 => PL-95/2003,Pronta para Pauta,Prop_Detalhe.asp?id=439882
207,207, Jair Bolsonaro - PP/RJ.,2009-09-08,"Recurso, ao Presidente da Câmara dos Deputados, contra apreciação conclusiva pelas Comissões de Educação e Cultura e Constituição e Justiça e de Cidadania do PL nº 2.239, de 2007, da Deputada Vanessa Grazziotin, que institui o dia 28 de agosto como ""Dia Nacional em Homenagem a todas às vítimas do regime militar, no período de 1964 a 1985.",REC-302/2009 => PL-2239/2007,Pronta para Pauta,Prop_Detalhe.asp?id=448698
208,208, Jair Bolsonaro - PP/RJ.,2009-09-30,"que seja convidado o Excelentíssimo Senhor NELSON JOBIM, Ministro de Estado da Defesa, para prestar esclarecimentos a esta Comissão sobre o PL nº 5.919, de 2009, do Poder Executivo, que ""dispõe sobre acesso às graduações superiores de militares oriundos do Quadro de Taifeiros da Aeronáutica"".",REQ-326/2009 CREDN => PL-5919/2009,Arquivada,Prop_Detalhe.asp?id=453078
